"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Patrick DiMarco","BUF","5.4","19.9","0.1","5.2","39.3","0.2","0.0","7.8"
"Darrel Young","CAR","4.4","18.6","0.2","3.9","33.6","0.2","0.0","7.6"
"Corey Grant","JAC","10.5","43.3","0.3","1.2","12.3","0.2","0.2","7.6"
"Mack Brown","WAS","9.0","39.0","0.4","2.2","14.4","0.0","0.1","7.4"
"Chris Carson","SEA","10.0","36.0","0.3","2.0","15.0","0.1","0.1","7.3"
"Peyton Barber","TB","10.7","45.0","0.3","2.0","14.3","0.0","0.2","7.2"
"Kapri Bibbs","SF","9.8","42.2","0.1","1.9","20.3","0.1","0.2","7.1"
"Josh Ferguson","IND","9.3","28.5","0.1","5.6","40.5","0.0","0.2","6.9"
"John Crockett","OAK","10.0","40.0","0.2","2.0","12.0","0.1","0.1","6.8"
"C.J. Spiller","KC","7.9","29.0","0.0","4.1","31.1","0.2","0.2","6.7"
"Khalfani Muhammad","TEN","10.0","36.3","0.2","1.9","14.4","0.1","0.1","6.7"
"Derek Watt","LAC","3.9","15.9","0.2","3.5","38.6","0.0","0.0","6.4"
"Jalston Fowler","TEN","6.0","20.1","0.2","2.7","26.7","0.1","0.0","6.3"
"Bobby Rainey","BAL","9.1","36.8","0.2","2.5","15.0","0.0","0.2","6.0"
"Akeem Hunt","HOU","7.7","36.4","0.2","2.1","14.0","0.0","0.2","5.7"
"Jonathan Grimes","JAC","5.5","28.0","0.1","3.5","26.0","0.1","0.2","5.6"
"Knile Davis","PIT","9.4","31.0","0.0","3.5","22.9","0.0","0.1","5.4"
"T.J. Logan","ARI","8.0","29.5","0.2","1.5","11.5","0.1","0.1","5.1"
"Raheem Mostert","SF","6.4","26.8","0.2","2.1","14.0","0.0","0.2","4.9"
"Juwan Thompson","DEN","8.6","31.9","0.1","2.1","14.3","0.0","0.3","4.8"
"Brandon Bolden","NE","3.9","13.9","0.0","2.5","20.1","0.2","0.2","4.3"
"Daniel Lasco","NO","5.5","19.7","0.1","2.3","16.0","0.1","0.1","4.3"
"Rod Smith","DAL","3.4","12.0","0.1","2.4","16.5","0.1","0.0","4.1"
"Troymaine Pope","IND","8.0","27.0","0.1","1.0","9.0","0.0","0.1","4.0"
"Keith Smith","DAL","4.2","16.1","0.2","2.2","14.2","0.0","0.0","3.9"
"James Develin","NE","3.2","10.2","0.1","2.9","22.5","0.0","0.0","3.8"
"Jay Prosch","HOU","2.8","9.9","0.1","2.5","21.7","0.0","0.0","3.5"
"Dan Vitale","CLE","3.1","11.1","0.1","2.5","16.2","0.0","0.0","3.1"
"Anthony Sherman","KC","3.1","12.8","0.1","1.8","10.5","0.0","0.0","2.6"
"Roosevelt Nix","PIT","1.6","5.3","0.0","1.7","9.8","0.0","0.0","1.7"
"Marquez Williams","JAC","2.0","7.0","0.0","1.0","7.0","0.0","0.0","1.4"
"Jordan Todman","NYJ","3.0","17.0","0.0","0.0","0.0","0.0","0.2","1.3"
"Marcus Murphy","NYJ","2.5","9.0","0.1","0.5","4.0","0.0","0.2","1.2"
"Taiwan Jones","BUF","1.0","2.5","0.0","0.5","7.0","0.1","0.2","1.2"
"Sam Rogers","LAR","2.0","5.0","0.0","1.0","6.0","0.0","0.0","1.1"
"Michael Burton","CHI","1.0","1.0","0.0","1.0","8.0","0.1","0.2","1.1"
"Austin Johnson","TB","8.3","33.8","0.1","3.8","30.4","0.0","0.0","0.0"
"Matt Jones","WAS","6.7","27.9","0.0","2.0","22.8","0.0","0.0","0.0"
"Ronnie Hillman","DAL","17.2","63.3","0.4","5.3","38.9","0.0","0.0","0.0"
"Byron Marshall","PHI","8.3","32.8","0.2","3.3","19.4","0.0","0.0","0.0"
"Ryan Hewitt","CIN","3.9","10.8","0.1","1.7","12.8","0.0","0.0","0.0"
"George Atkinson","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cedric Peerman","CIN","15.8","55.9","0.3","7.0","43.5","0.0","0.0","0.0"
"Terrell Watson","PIT","8.0","33.9","0.2","3.2","21.3","0.0","0.0","0.0"
"Joe Banyard","BUF","13.6","44.3","0.2","6.3","39.7","0.0","0.0","0.0"
"Joe Kerridge","GB","4.4","14.7","0.1","2.8","16.6","0.0","0.0","0.0"
"Senorise Perry","MIA","8.4","35.7","0.3","5.5","42.1","0.0","0.0","0.0"
"Mike Davis","SEA","1.6","4.7","0.0","9.1","66.6","0.0","0.0","0.0"
"Bernard Pierce","DEN","7.8","30.9","0.1","4.0","30.6","0.0","0.0","0.0"
"D.J. Foster","NE","12.0","45.9","0.2","2.7","18.6","0.0","0.0","0.0"
"Storm Johnson","MIA","8.4","35.7","0.3","5.5","42.1","0.0","0.0","0.0"
""
""
